거래일,종목명,거래수량,환율,거래금액,수수료,유가잔고,잔액,상대계좌,
거래종류,잔고번호,거래단가,외환잔액,정산금액,거래세,세금,부가세,접속매체,
Smart+거래소주식매수,,"8,995",0,"89,953",0,0,0,스마트폰,
2024.2.20,KBSTAR 미국채30년엔화노출(합성 H),20,0,"180,650",7,630,"151,506",,
Smart+거래소주식매수,,"9,032",0,"180,657",0,0,0,스마트폰,
2024.2.20,,0,0,"1,000,000",0,0,"1,151,506",서동환　　　　　　　 37391001971904 서동환,
타사이체입금,,0,0,"1,000,000",0,0,0,대외기관,
2024.2.22,KBSTAR 미국채30년엔화노출(합성 H),40,0,"359,600",15,670,"791,891",,
Smart+거래소주식매수,,"8,990",0,"359,615",0,0,0,스마트폰,
2024.2.26,KBSTAR 미국채30년엔화노출(합성 H),50,0,"445,500",18,720,"346,373",,
Smart+거래소주식매수,,"8,910",0,"445,518",0,0,0,스마트폰,
2024.2.27,KBSTAR 미국채30년엔화노출(합성 H),10,0,"89,350",3,730,"257,020",,
Smart+거래소주식매수,,"8,935",0,"89,353",0,0,0,스마트폰,
2024.2.28,KBSTAR 미국채30년엔화노출(합성 H),10,0,"90,000",3,740,"167,017",,
Smart+거래소주식매수,,"9,000",0,"90,003",0,0,0,스마트폰,
2024.2.28,,0,0,"1,000,000",0,0,"1,167,017",서동환　　　　　　　 37391001971904 서동환,
타사이체입금,,0,0,"1,000,000",0,0,0,대외기관,
2024.2.29,KBSTAR 미국채30년엔화노출(합성 H),10,0,"90,300",3,750,"1,076,714",,
Smart+거래소주식매수,,"9,030",0,"90,303",0,0,0,스마트폰,
2024.3.4,KBSTAR 미국채30년엔화노출(합성 H),20,0,"179,650",7,770,"897,057",,
Smart+거래소주식매수,,"8,982",0,"179,657",0,0,0,스마트폰,
2024.3.4,,0,0,"1,560",0,0,"898,617",,
예탁금이용료,,0,0,"1,560",0,0,0,,
2024.3.8,KODEX KOFR금리액티브(합성),30,0,"3,181,350",133,30,"-2,282,866",,
Smart+거래소주식매수,,"106,045",0,"898,617",0,0,0,스마트폰,
2024.3.8,ACE KRX금현물,30,0,"391,650",16,20,"-1,891,232",,
Smart+거래소주식매도,,"13,055",0,0,0,0,0,스마트폰,
2024.3.8,KBSTAR 미국채30년엔화노출(합성 H),310,0,"2,866,150",120,460,"974,798",,
Smart+거래소주식매도,,"9,245",0,"974,798",0,0,0,스마트폰,
2024.3.11,TIGER 미국달러SOFR금리액티브(합성),40,0,"2,078,500",87,40,"-1,103,789",,
Smart+거래소주식매수,,"51,962",0,"974,798",0,0,0,스마트폰,
2024.3.11,KBSTAR 미국채30년엔화노출(합성 H),230,0,"2,152,900",90,230,"1,049,021",,
Smart+거래소주식매도,,"9,360",0,"1,049,021",0,0,0,스마트폰,
2024.3.12,TIGER 미국달러SOFR금리액티브(합성),18,0,"928,710",39,58,"120,272",,
Smart+거래소주식매수,,"51,595",0,"928,749",0,0,0,스마트폰,
2024.3.13,TIGER 미국달러SOFR금리액티브(합성),36,0,"1,847,740",77,94,"-1,727,545",,
Smart+거래소주식매수,,"51,326",0,"120,272",0,0,0,스마트폰,
2024.3.13,KODEX KOFR금리액티브(합성),20,0,"2,121,800",89,10,"394,166",,
Smart+거래소주식매도,,"106,090",0,"394,166",0,0,0,스마트폰,
2024.3.14,TIGER 미국달러SOFR금리액티브(합성),20,0,"1,024,295",43,114,"-630,172",,
Smart+거래소주식매수,,"51,214",0,"394,166",0,0,0,스마트폰,
